Iteration,bazel abiChange,bazel nonAbiChange,Gradle 8.0 abiChange,Gradle 8.0 nonAbiChange,Gradle 8.1 abiChange,Gradle 8.1 nonAbiChange,Gradle 8.3-rc-3 abiChange,Gradle 8.3-rc-3 nonAbiChange
1,39600.9,2109.88,13791.94,2617.01,5388.71,969.1,4322.38,583.08
2,41975.07,1798.87,13939.69,2559.65,5321.55,1005.32,4225.12,618.86
3,42562.43,1787.01,13441.9,2630.52,5292.13,998.56,4223.64,610.11
4,41739.87,1786.95,13512.27,2587.43,5397.92,934.37,4241.46,525.39
5,42051.35,1941.04,9371.15,2587.06,5302.45,914.22,4236.65,525.79
6,40128.12,1787.15,13872.1,2632.78,5326.07,906.48,4197.56,537.47
7,39807.4,1820.69,13481.14,2522.67,5420.93,895.66,4359.79,526.86
8,39488.86,1770.1,13430.99,2528.6,5307.27,913.44,4138.75,560.31
9,38717.1,1745.36,13332.88,2653.41,5423.21,1251.53,4222.02,548.55
10,39566.81,1811.5,13427.74,2535.87,5642.2,933.72,4285.31,598.87
