Iteration,bazel abiChange,bazel nonAbiChange,Gradle 8.2.1 abiChange with CC,Gradle 8.2.1 nonAbiChange with CC,Gradle 8.3-rc-1 abiChange with CC,Gradle 8.3-rc-1 nonAbiChange with CC
1,43355.58,1792.58,5804.03,951.89,4286.23,647.91
2,44619.28,1643.3,5510.21,1045.85,4366.78,590.99
3,42890.31,1898.06,5629.06,986.95,4763.13,739.18
4,42490.21,1678.53,5587.25,1029.74,4258.09,607.16
5,43382.56,1642.89,5493.75,1057.2,4222.22,545.81
6,42422.43,1631.32,5347.11,985.81,4229.79,519.56
7,42460.71,1530.8,5651.22,928.87,4295.04,711.45
8,44068.78,1512.17,5606.13,968.81,4341.82,557.06
9,43104.79,1644.47,5633.76,981.25,4230.71,533.2
10,42766.66,1683.55,5520.74,970.91,4384.98,530.1
