Iteration,bazel abiChange,Gradle 8.2.1 abiChange,Gradle 8.3-rc-1 abiChange,bazel nonAbiChange,Gradle 8.2.1 nonAbiChange,Gradle 8.3-rc-1 nonAbiChange
1,56004.11,7120.17,5815.27,8224.4,2452.67,2539.48
2,54486.16,7047.47,5846.67,8013.64,2563.95,2444.68
3,54407.01,7278.35,5914.42,8221.9,2467.58,2420.53
4,54172.98,7113.06,5734.42,8775.0,2479.36,2241.47
5,57165.57,7046.25,5758.24,7582.41,2338.21,2256.31
6,55888.64,6957.99,5726.91,8171.82,2372.67,2289.53
7,54325.95,7066.16,5652.05,8439.07,2419.98,2260.88
8,55631.89,6982.34,5777.43,8301.95,2471.14,2287.45
9,55996.6,7221.07,5810.95,8125.71,2426.26,2256.9
10,54586.2,7070.28,5979.65,8495.9,2265.52,2188.57
